IG - Quadrimestre 2;;;;;;;;;;
Jour;Début;Fin;Identifiants;Professeurs;Locaux;Semaines;Groupe;Partie;;
Lundi;09h00;10h00;JIII;Riggio;2106;/;1;/;;
Lundi;10h15;12h25;JIII;Riggio;2106;/;1;/;;
Lundi;13h15;15h15;BU;Delande;2503;/;1;/;;
Mardi;08h00;10h00;DMI;Riggio;1105;/;2;/;;
Mardi;09h00;10h00;BDII;Ben Hnia;1508;/;1;/;;
Mardi;10h15;12h15;DMI;Riggio;1105;/;2;/;;
Mardi;10h15;12h15;BDII;Ben Hnia;1508;/;1;/;;
Mardi;13h15;15h15;BDII;Ben Hnia;1508;/;2;/;;
Mardi;15h30;16h30;BDII;Ben Hnia;1508;/;2;/;;
Mercredi;08h00;10h00;SEII;Ponchaut;1508;1--6;1;1//2;;
Mercredi;08h00;10h00;BU;Delande;1303;/;2;/;;
Mercredi;10h15;12h25;SEII;Ponchaut;1508;/;1;2//2;;
Mercredi;10h15;12h25;JIII;Riggio;1507;/;2;/;;
Mercredi;14h00;16h00;SII;Pierre;1303;/;/;/;;
Jeudi;08h00;09h00;PGC;NaN;1303;NaN;/;/;;
Jeudi;09h00;10h00;AMUII;Ben Hnia;2106;/;/;/;;
Jeudi;10h15;12h15;AMUII;Ben Hnia;2106;/;/;/;;
Jeudi;13h15;15h15;IGP;Flamant;1303;1--2;/;/;;
Jeudi;15h30;17h30;CPAP;Bricmaan;1303;1--2;/;/;;
Jeudi;13h15;17h00;P;Tapfuh,Flamant,Bricmaan;1303;3--;/;/;;
Vendredi;08h00;10h00;DMI;Riggio;2106;/;1;/;;
Vendredi;09h00;12h15;PNETIII;Van Goethem;1105;/;2;/;;
Vendredi;10h15;12h15;DMII;Riggio;2106;/;1;/;;
Vendredi;13h15;15h15;OS II;Ponchaut;1507;/;2;1//2;;
Vendredi;15h30;17h30;OS II;Ponchaut;1507;1--6;2;2//2;;
Vendredi;13h15;16h15;PNETIII;Van Goethem;2106;/;1;/;;